word,kind,en,ru
"ambiguous","ok","The statement was too ambiguous to interpret clearly.","Заявление было слишком двусмысленным, чтобы его ясно истолковать."
"ambiguous","alt_ok","His answer was deliberately ambiguous.","Его ответ был намеренно двусмысленным."
"ambiguous","bad","The statement was too ambigous to interpret clearly.","«Ambigous». (ошибка)"
"ample","ok","There was ample evidence to support the claim.","Было достаточно доказательств, чтобы поддержать утверждение."
"ample","alt_ok","The room provides ample space for meetings.","Комната предоставляет достаточно места для встреч."
"ample","bad","There was ampple evidence to support the claim.","«Ampple». (ошибка)"
"arbitrary","ok","The decision seemed completely arbitrary.","Решение казалось совершенно произвольным."
"arbitrary","alt_ok","Arbitrary rules discourage creativity.","Произвольные правила подавляют креативность."
"arbitrary","bad","The decision seemed arbitary.","«Arbitary». (ошибка)"
"assertive","ok","You need to be more assertive during negotiations.","Тебе нужно быть более уверенным во время переговоров."
"assertive","alt_ok","Assertive communication builds respect.","Уверенное общение способствует уважению."
"assertive","bad","You need to be more asertive.","«Asertive». (ошибка)"
"authentic","ok","The document appeared to be authentic.","Документ оказался подлинным."
"authentic","alt_ok","She has an authentic interest in art.","У неё искренний интерес к искусству."
"authentic","bad","The document appeared to be autenthic.","«Autenthic». (ошибка)"
"benevolent","ok","He was known as a benevolent leader.","Он был известен как доброжелательный лидер."
"benevolent","alt_ok","The benevolent act improved his reputation.","Добрый поступок улучшил его репутацию."
"benevolent","bad","He was known as a benovelent leader.","«Benovelent». (ошибка)"
"coherent","ok","Her argument was logical and coherent.","Её аргумент был логичным и последовательным."
"coherent","alt_ok","The report lacked a coherent structure.","В отчёте не хватало связной структуры."
"coherent","bad","Her argument was logcal and coherant.","«Coherant». (ошибка)"
"collaborative","ok","They have a collaborative approach to problem-solving.","У них совместный подход к решению проблем."
"collaborative","alt_ok","Collaborative tools improve team efficiency.","Совместные инструменты повышают эффективность команды."
"collaborative","bad","They have a collabrative approach.","«Collabrative». (ошибка)"
"compelling","ok","She gave a compelling presentation.","Она сделала убедительную презентацию."
"compelling","alt_ok","The evidence is compelling enough to act.","Доказательства достаточно убедительны, чтобы действовать."
"compelling","bad","She gave a compeling presentation.","«Compeling». (ошибка)"
"comprehensive","ok","We need a comprehensive analysis of the issue.","Нам нужен всесторонний анализ вопроса."
"comprehensive","alt_ok","The course offers a comprehensive overview.","Курс предлагает всесторонний обзор."
"comprehensive","bad","We need a comprehnsive analysis.","«Comprehnsive». (ошибка)"
"conducive","ok","A quiet environment is conducive to study.","Тихая обстановка способствует обучению."
"conducive","alt_ok","Team spirit is conducive to success.","Командный дух способствует успеху."
"conducive","bad","A quiet environment is conducve to study.","«Conducve». (ошибка)"
"conscientious","ok","She is a conscientious worker.","Она добросовестный работник."
"conscientious","alt_ok","He made a conscientious effort to improve.","Он приложил добросовестные усилия, чтобы улучшиться."
"conscientious","bad","She is a conscentious worker.","«Conscentious». (ошибка)"
"conspicuous","ok","Her red dress made her conspicuous in the crowd.","Её красное платье делало её заметной в толпе."
"conspicuous","alt_ok","The error was too conspicuous to ignore.","Ошибка была слишком заметна, чтобы её игнорировать."
"conspicuous","bad","Her red dress made her conspecuous.","«Conspecuous». (ошибка)"
"contingent","ok","Our success is contingent upon funding.","Наш успех зависит от финансирования."
"contingent","alt_ok","The plan is contingent on approval.","План зависит от утверждения."
"contingent","bad","Our success is contigent upon funding.","«Contigent». (ошибка)"
"credible","ok","The witness gave a credible account.","Свидетель дал достоверные показания."
"credible","alt_ok","It’s not a credible explanation.","Это недостоверное объяснение."
"credible","bad","The witness gave a credble account.","«Credble». (ошибка)"
"cumulative","ok","Cumulative results showed clear progress.","Совокупные результаты показали явный прогресс."
"cumulative","alt_ok","Cumulative experience shapes expertise.","Накопленный опыт формирует мастерство."
"cumulative","bad","Cumulativ results showed progress.","«Cumulativ». (ошибка)"
"decisive","ok","Her decisive actions saved the company.","Её решительные действия спасли компанию."
"decisive","alt_ok","A decisive victory boosted morale.","Решающая победа подняла мораль."
"decisive","bad","Her decissive actions saved the company.","«Decissive». (ошибка)"
"deliberate","ok","It was a deliberate attempt to mislead.","Это была обдуманная попытка ввести в заблуждение."
"deliberate","alt_ok","He spoke in a slow, deliberate tone.","Он говорил медленно и обдуманно."
"deliberate","bad","It was a delibrate attempt.","«Delibrate». (ошибка)"
"distinct","ok","The twins have distinct personalities.","У близнецов разные личности."
"distinct","alt_ok","There are three distinct categories.","Есть три чёткие категории."
"distinct","bad","The twins have distict personalities.","«Distict». (ошибка)"
"eloquent","ok","She gave an eloquent speech on justice.","Она произнесла красноречивую речь о справедливости."
"eloquent","alt_ok","His eyes were more eloquent than words.","Его глаза были красноречивее слов."
"eloquent","bad","She gave an eloqunt speech.","«Eloqunt». (ошибка)"
"feasible","ok","The plan is ambitious but feasible.","План амбициозен, но осуществим."
"feasible","alt_ok","It’s not economically feasible right now.","Сейчас это экономически неосуществимо."
"feasible","bad","The plan is feazible but risky.","«Feazible». (ошибка)"
"formidable","ok","He was a formidable opponent.","Он был грозным противником."
"formidable","alt_ok","They face a formidable challenge.","Они столкнулись с внушительным вызовом."
"formidable","bad","He was a formidble opponent.","«Formidble». (ошибка)"
"imminent","ok","The storm’s arrival is imminent.","Приближение шторма неизбежно."
"imminent","alt_ok","An imminent crisis forced a decision.","Надвигающийся кризис вынудил принять решение."
"imminent","bad","The storm’s arrival is iminent.","«Iminent». (ошибка)"
"impartial","ok","A judge must remain impartial.","Судья должен оставаться беспристрастным."
"impartial","alt_ok","He offered an impartial opinion.","Он высказал объективное мнение."
"impartial","bad","A judge must remain imparshal.","«Imparshal». (ошибка)"
"inherent","ok","Risk is inherent in any business.","Риск присущ любому бизнесу."
"inherent","alt_ok","Honesty is an inherent trait of his character.","Честность — неотъемлемая черта его характера."
"inherent","bad","Risk is inherant in any business.","«Inherant». (ошибка)"
"innovative","ok","They developed an innovative product.","Они разработали инновационный продукт."
"innovative","alt_ok","Her approach to teaching is highly innovative.","Её подход к обучению очень инновационный."
"innovative","bad","They developed an inovative product.","«Inovative». (ошибка)"
"integral","ok","Teamwork is integral to success.","Командная работа — неотъемлемая часть успеха."
"integral","alt_ok","This component is integral to the system.","Этот компонент неотъемлем для системы."
"integral","bad","Teamwork is intergal to success.","«Intergal». (ошибка)"
"lucrative","ok","He found a lucrative business opportunity.","Он нашёл прибыльную возможность для бизнеса."
"lucrative","alt_ok","Real estate is a lucrative field.","Недвижимость — прибыльная сфера."
"lucrative","bad","He found a lucrativ business.","«Lucrativ». (ошибка)"
"meticulous","ok","She keeps meticulous notes.","Она ведёт дотошные записи."
"meticulous","alt_ok","He is meticulous about details.","Он очень дотошен в деталях."
"meticulous","bad","She keeps meticulus notes.","«Meticulus». (ошибка)"
"notable","ok","She made a notable contribution to science.","Она внесла заметный вклад в науку."
"notable","alt_ok","The town is notable for its architecture.","Город примечателен своей архитектурой."
"notable","bad","She made a noteble contribution to science.","«Noteble». (ошибка)"
"notorious","ok","He’s notorious for being late.","Он печально известен своей привычкой опаздывать."
"notorious","alt_ok","The area became notorious for crime.","Район стал печально известен преступностью."
"notorious","bad","He’s notorios for being late.","«Notorios». (ошибка)"
"objective","ok","We need an objective assessment of the situation.","Нам нужна объективная оценка ситуации."
"objective","alt_ok","Journalists must remain objective.","Журналисты должны оставаться объективными."
"objective","bad","We need an objetive assessment.","«Objetive». (ошибка)"
"obsolete","ok","Typewriters are now obsolete.","Пишущие машинки теперь устарели."
"obsolete","alt_ok","This technology is becoming obsolete.","Эта технология становится устаревшей."
"obsolete","bad","Typewriters are now obsolite.","«Obsolite». (ошибка)"
"pervasive","ok","The influence of technology is pervasive.","Влияние технологий вездесуще."
"pervasive","alt_ok","A pervasive smell filled the room.","Вездесущий запах наполнил комнату."
"pervasive","bad","The influence of technology is pervassive.","«Pervassive». (ошибка)"
"plausible","ok","Her explanation sounds plausible.","Её объяснение звучит правдоподобно."
"plausible","alt_ok","It’s a plausible theory based on facts.","Это правдоподобная теория, основанная на фактах."
"plausible","bad","Her explanation sounds plauseble.","«Plauseble». (ошибка)"
"preliminary","ok","We only have preliminary results.","У нас есть только предварительные результаты."
"preliminary","alt_ok","A preliminary meeting was held yesterday.","Вчера прошло предварительное совещание."
"preliminary","bad","We only have prelinary results.","«Prelinary». (ошибка)"
"prevalent","ok","That belief is still prevalent today.","Это убеждение всё ещё распространено сегодня."
"prevalent","alt_ok","Flu is prevalent in winter.","Грипп распространён зимой."
"prevalent","bad","That belief is still prevelant today.","«Prevelant». (ошибка)"
"profound","ok","His speech had a profound impact.","Его речь произвела глубокое впечатление."
"profound","alt_ok","She felt a profound sense of loss.","Она испытывала глубокое чувство утраты."
"profound","bad","His speech had a profoun impact.","«Profoun». (ошибка)"
"prospective","ok","Prospective students visited the campus.","Потенциальные студенты посетили кампус."
"prospective","alt_ok","They discussed prospective opportunities.","Они обсудили перспективные возможности."
"prospective","bad","Prospectve students visited the campus.","«Prospectve». (ошибка)"
"rational","ok","You need a rational explanation.","Тебе нужно рациональное объяснение."
"rational","alt_ok","He made a rational decision.","Он принял рациональное решение."
"rational","bad","You need a rashional explanation.","«Rashional». (ошибка)"
"resilient","ok","She is resilient after failures.","Она устойчива после неудач."
"resilient","alt_ok","The system is resilient to stress.","Система устойчива к нагрузке."
"resilient","bad","She is resiliant after failures.","«Resiliant». (ошибка)"
"resolute","ok","He remained resolute despite opposition.","Он оставался решительным несмотря на сопротивление."
"resolute","alt_ok","She gave a resolute answer.","Она дала решительный ответ."
"resolute","bad","He remained resolut despite opposition.","«Resolut». (ошибка)"
"skeptical","ok","Many people are skeptical about the plan.","Многие скептически относятся к плану."
"skeptical","alt_ok","She gave him a skeptical look.","Она бросила на него скептический взгляд."
"skeptical","bad","Many people are skeptikal about the plan.","«Skeptikal». (ошибка)"
"solitary","ok","He lives a solitary life in the mountains.","Он ведёт уединённую жизнь в горах."
"solitary","alt_ok","A solitary figure walked along the beach.","Одинокая фигура шла по пляжу."
"solitary","bad","He lives a solatary life.","«Solatary». (ошибка)"
"spontaneous","ok","Her laughter was spontaneous.","Её смех был спонтанным."
"spontaneous","alt_ok","They organized a spontaneous trip.","Они устроили спонтанную поездку."
"spontaneous","bad","Her laughter was spontainous.","«Spontainous». (ошибка)"
"stringent","ok","The company has stringent safety rules.","В компании строгие правила безопасности."
"stringent","alt_ok","Stringent measures were introduced.","Были введены строгие меры."
"stringent","bad","The company has stringant rules.","«Stringant». (ошибка)"
"subtle","ok","There was a subtle difference in meaning.","Была тонкая разница в значении."
"subtle","alt_ok","Her smile had a subtle charm.","Её улыбка имела тонкое очарование."
"subtle","bad","There was a sutle difference in meaning.","«Sutle». (ошибка)"
