level,pos,word,translation
C2,adjectives,abject,жалкий / унизительный
C2,adjectives,adamant,непреклонный
C2,adjectives,adroit,ловкий / искусный
C2,adjectives,affluent,зажиточный / богатый
C2,adjectives,altruistic,альтруистичный
C2,adjectives,amenable,податливый / склонный соглашаться
C2,adjectives,austere,строгий / аскетичный
C2,adjectives,brazen,наглый / бесстыдный
C2,adjectives,candid,откровенный / беспристрастный
C2,adjectives,capricious,капризный / непостоянный
C2,adjectives,clandestine,тайный / подпольный
C2,adjectives,complacent,самодовольный
C2,adjectives,conciliatory,примирительный
C2,adjectives,conspicuous,заметный / бросающийся в глаза
C2,adjectives,contemptuous,презрительный
C2,adjectives,copious,обильный
C2,adjectives,cryptic,загадочный / скрытый
C2,adjectives,cursory,поверхностный / беглый
C2,adjectives,decadent,упадочный / декадентский
C2,adjectives,definitive,окончательный / авторитетный
C2,adjectives,deleterious,вредный / пагубный
C2,adjectives,derisive,насмешливый
C2,adjectives,despondent,унылый / подавленный
C2,adjectives,didactic,поучительный / дидактический
C2,adjectives,discerning,проницательный
C2,adjectives,disingenuous,неискренний / лукавый
C2,adjectives,disparate,разнородный / несоизмеримый
C2,adjectives,dogged,упорный / настойчивый
C2,adjectives,dubious,сомнительный
C2,adjectives,egregious,вопиющий / чудовищный
C2,adjectives,elusive,неуловимый / трудный для понимания
C2,adjectives,eminent,выдающийся
C2,adjectives,emphatic,решительный / выразительный
C2,adjectives,enigmatic,загадочный
C2,adjectives,equitable,справедливый / беспристрастный
C2,adjectives,erratic,неустойчивый / хаотичный
C2,adjectives,esoteric,эзотерический / узкоспециальный
C2,adjectives,exorbitant,чрезмерный / непомерный
C2,adjectives,expedient,целесообразный / выгодный
C2,adjectives,fastidious,привередливый / щепетильный
C2,adjectives,fervent,пылкий / страстный
C2,adjectives,flagrant,вопиющий / явный
C2,adjectives,formidable,грозный / внушающий страх
C2,adjectives,frivolous,легкомысленный
C2,adjectives,furtive,скрытный / вороватый
C2,adjectives,futile,тщетный / бесполезный
C2,adjectives,haphazard,случайный / бессистемный
C2,adjectives,heinous,чудовищный / отвратительный
C2,adjectives,holistic,целостный / комплексный
C2,adjectives,idiosyncratic,своеобразный / идиосинкратический
C2,adjectives,illicit,незаконный
C2,adjectives,immaterial,несущественный / невещественный
C2,adjectives,impervious,невосприимчивый / непроницаемый
C2,adjectives,implicit,подразумеваемый / неявный
C2,adjectives,imprudent,неблагоразумный
C2,adjectives,incisive,острый / меткий
C2,adjectives,incongruous,несоответствующий / нелепый
C2,adjectives,indelible,неизгладимый
C2,adjectives,indispensable,незаменимый / необходимый
C2,adjectives,inexorable,неумолимый / непреклонный














